hour,SOC,DOC,MBC,EEC
295,72.52807127,1.384642794,3.503163531,0.50338222
300,64.55275726,1.548672356,2.104927905,0.692885365
305,60.53568091,1.363561767,3.497682192,0.740472443
310,84.99042516,1.205180311,2.871361028,0.493577055
315,68.04613076,1.409103843,3.528415249,0.596720626
320,67.76007947,1.593540967,2.866856395,0.59712744
325,67.28395029,1.399597155,2.872638316,0.823970231
330,63.01286348,1.312984956,3.730154573,0.804765626
335,69.46816135,1.370978974,3.93444088,0.942743845
340,74.51573288,1.617468818,3.578552692,0.775462775
345,69.05046216,1.611738201,4.049278671,0.792762841
350,66.71473417,1.693522383,3.685593055,0.884037235
355,71.79711565,1.291424313,3.697594155,0.755514964
360,66.26831377,1.533815345,4.987456332,0.927261565
365,62.83775723,1.624231665,4.408598316,0.820430253
370,61.84808595,1.8299836,4.914723221,0.770408229
375,71.91592423,1.422606805,5.637190978,0.874985301
380,70.35382698,1.73659747,4.188749281,0.734368104
385,61.97074528,1.845056943,3.649863303,0.729529479
390,77.33547636,2.127222988,4.536543152,0.824580635
395,67.32185951,2.09978169,4.860915203,0.943220174
400,76.70353482,1.757127995,4.160959724,0.742491048
405,68.989908,1.916408374,4.542897341,0.856645065
410,62.76908462,1.612550501,4.398737261,0.975676146
415,66.22433801,1.912978515,5.009833063,0.918241482
420,55.72772847,1.766996782,5.523688432,0.938249006
425,69.2714818,1.834647137,5.010987118,0.872100504
430,70.25155511,1.731912109,5.668356558,1.062149951
435,64.64961176,1.742341405,4.8513408,1.110548369
440,61.67684957,1.943534714,5.213793464,1.017054586
445,71.06389995,2.042871933,5.327116409,1.034969324
450,62.94303285,1.930466052,5.525578656,0.917719076
455,61.83822841,1.700391779,4.978498133,1.075436305
460,57.05146668,1.677076508,4.861875479,0.936752628
465,62.31850045,1.677990391,5.522152421,1.074264306
470,66.90133368,2.018476182,6.166142133,0.99554667
475,64.07172824,1.868678088,6.101873925,1.090760998
480,64.5387131,1.695407584,5.677483504,0.990693486
485,67.4853166,1.88364843,6.798160064,0.915105888
490,55.18945337,1.67210774,5.862462102,0.717478888
495,49.37942655,1.703135365,6.667095982,0.76796284
500,64.65793942,1.712592744,5.865496297,0.852169557
505,47.75002236,1.810944968,6.010038341,0.806633369
510,57.03525857,1.5778981,6.211031631,0.924584257
515,61.79114785,1.585967525,4.495539044,0.918222107
520,59.71122151,1.585219203,5.539498799,0.988608923
525,64.44456916,1.388215546,5.29299861,0.846844656
530,53.30028068,1.799967264,5.35453067,0.877917152
535,63.42784525,1.837301484,5.81296449,0.889738137
540,58.89742163,1.685429169,6.321573654,0.923162875
545,53.80209344,1.675311637,5.847078231,0.94762242
550,47.25721596,1.538611288,6.907483204,0.9035182
555,54.069863,1.452454029,6.381704977,0.572043375
560,43.86556303,1.476157552,6.430657233,0.628790853
565,63.77358544,1.124907916,5.714578595,0.549335732
